fran_id,team_id,hex_color
Bucks,MIL,#00471B
Bulls,CHI,#CE1141
Cavaliers,CLE,#6F263D
Celtics,BOS,#007A33
Clippers,LAC,#C8102E
Grizzlies,MEM,#5D76A9
Hawks,ATL,#E03A3E
Heat,MIA,#98002E
Hornets,CHO,#1D1160
Jazz,UTA,#002B5C
Kings,SAC,#5A2D81
Knicks,NYK,#F58426
Lakers,LAL,#FDB927
Magic,ORL,#00538C
Mavericks,DAL,#00538C
Nets,BRK,#000000
Nuggets,DEN,#0E2240
Pacers,IND,#002D62
Pelicans,NOP,#0C2340
Pistons,DET,#C8102E
Raptors,TOR,#CE1141
Rockets,HOU,#CE1141
Sixers,PHI,#006BB6
Spurs,SAS,#C4CED4
Suns,PHO,#1D1160
Thunder,OKC,#007AC1
Timberwolves,MIN,#0C2340
Trailblazers,POR,#E03A3E
Warriors,GSW,#006BB6
Wizards,WAS,#002B5C
Huskies,,
Stags,,
Falcons,,
Capitols,,
Steamrollers,,
Ironmen,,
Bombers,,
Rebels,,
Baltimore,,
Jets,,
Denver,,
Olympians,,
Redskins,,
Waterloo,,
Squires,,
Stars,,
Colonels,,
Spirits,,
Sounds,,
Floridians,,
Condors,,
Sails,,